################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 22:49:50 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./pj3/TOP/lint/lint_functional_rtl/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : auto-verify(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
1,TOP.OB.count[5:0],output_buffer,X,-,-,-,X,no,TOP.CLK,NULL
2,TOP.OB.case_enable,output_buffer,X,-,-,-,X,no,TOP.CLK,NULL
3,TOP.ST1.P78.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
4,TOP.ST1.P78.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
5,TOP.ST1.P78.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
6,TOP.ST1.P78.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
7,TOP.ST1.P78.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
8,TOP.ST1.P67.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
9,TOP.ST1.P67.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
10,TOP.ST1.P67.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
11,TOP.ST1.P67.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
12,TOP.ST1.P67.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
13,TOP.ST1.P68.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
14,TOP.ST1.P68.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
15,TOP.ST1.P68.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
16,TOP.ST1.P56.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
17,TOP.ST1.P56.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
18,TOP.ST1.P56.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
19,TOP.ST1.P56.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
20,TOP.ST1.P56.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
21,TOP.ST1.P57.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
22,TOP.ST1.P57.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
23,TOP.ST1.P57.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
24,TOP.ST1.P58.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
25,TOP.ST1.P58.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
26,TOP.ST1.P58.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
27,TOP.ST1.P45.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
28,TOP.ST1.P45.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
29,TOP.ST1.P45.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
30,TOP.ST1.P45.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
31,TOP.ST1.P45.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
32,TOP.ST1.P46.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
33,TOP.ST1.P46.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
34,TOP.ST1.P46.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
35,TOP.ST1.P47.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
36,TOP.ST1.P47.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
37,TOP.ST1.P47.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
38,TOP.ST1.P48.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
39,TOP.ST1.P48.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
40,TOP.ST1.P48.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
41,TOP.ST1.P34.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
42,TOP.ST1.P34.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
43,TOP.ST1.P34.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
44,TOP.ST1.P34.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
45,TOP.ST1.P34.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
46,TOP.ST1.P35.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
47,TOP.ST1.P35.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
48,TOP.ST1.P35.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
49,TOP.ST1.P36.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
50,TOP.ST1.P36.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
51,TOP.ST1.P36.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
52,TOP.ST1.P37.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
