################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 22:49:23 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./pj3/TOP/lint/lint_turbo_rtl/spyglass_reports/lint/W287b/000/W287b002.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : lint(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : Output port of an instance is not connected
#
################################################################################
#CrossProbeTag:W287b_VIOLATION_CSV_TAG
##Sheet_Prop:hidecols:1
##Sheet_Prop:cross-probe-data-col:1
##Sheet_Prop:use_violation_based_waiver:1

TagId,File Name,Line Number,Port Name,WAIVED
1,./../../rtl/LAB3/get_shared_exp.v,34,"enable_next","no"
2,./../../rtl/LAB3/get_shared_exp.v,35,"enable_next","no"
3,./../../rtl/LAB3/get_shared_exp.v,36,"enable_next","no"
4,./../../rtl/LAB3/get_shared_exp.v,37,"enable_next","no"
5,./../../rtl/LAB3/get_shared_exp.v,38,"enable_next","no"
6,./../../rtl/LAB3/get_shared_exp.v,39,"enable_next","no"
7,./../../rtl/LAB3/get_shared_exp.v,40,"enable_next","no"
8,./../../rtl/LAB3/get_shared_exp.v,41,"enable_next","no"
9,./../../rtl/LAB3/get_shared_exp.v,42,"enable_next","no"
10,./../../rtl/LAB3/get_shared_exp.v,43,"enable_next","no"
11,./../../rtl/LAB3/get_shared_exp.v,44,"enable_next","no"
12,./../../rtl/LAB3/get_shared_exp.v,45,"enable_next","no"
13,./../../rtl/LAB3/get_shared_exp.v,46,"enable_next","no"
14,./../../rtl/LAB3/get_shared_exp.v,47,"enable_next","no"
45,./../../rtl/LAB3/get_shared_exp.v,33,"enable_next","no"
