################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 23:08:19 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./spyglass-1/lint/lint_functional_rtl/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : auto-verify(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
1,TOP.alu_enable_reg_reg.Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
2,TOP.enable_reg.Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
3,TOP.OB.\RESULT_192_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
4,TOP.OB.\RESULT_192_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
5,TOP.OB.\RESULT_192_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
6,TOP.OB.\RESULT_192_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
7,TOP.OB.\RESULT_192_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
8,TOP.OB.\RESULT_192_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
9,TOP.OB.\RESULT_192_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
10,TOP.OB.\RESULT_192_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
11,TOP.OB.\RESULT_192_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
12,TOP.OB.\RESULT_192_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
13,TOP.OB.\RESULT_192_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
14,TOP.OB.\RESULT_192_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
15,TOP.OB.\RESULT_192_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
16,TOP.OB.\RESULT_192_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
17,TOP.OB.\RESULT_192_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
